Protein A;Gene A;Protein B;Gene B;Score;PMID
P0CG48;UBC;O15297;PPM1D;0.183;23314748 
Q96F07;CYFIP2;P03950;ANG;0.126;28777577 
Q96F07;CYFIP2;P62993;GRB2;0.126;21706016 
Q9BY11;PACSIN1;Q96F07;CYFIP2;0.126;19041431 
Q96F07;CYFIP2;Q5S007;LRRK2;0.126;24725412 
Q96F07;CYFIP2;Q5T124;UBXN11;0.126;26186194 
Q96F07;CYFIP2;Q400G9;AMZ1;0.126;28514442 
Q96F07;CYFIP2;Q3ZCQ8;TIMM50;0.126;28514442 
Q96F07;CYFIP2;P50552;VASP;0.126;26186194 
Q96F07;CYFIP2;P51114;FXR1;0.309;11438699 
Q96F07;CYFIP2;Q13557;CAMK2D;0.126;29426014 
Q96F07;CYFIP2;P55160;NCKAP1L;0.081;26344197 
Q1MSW8;TP53;A8K1F4;A8K1F4;0.126;25036637 
Q1MSW8;TP53;O95816;BAG2;0.126;25036637 
Q53FC7;Q53FC7;Q1MSW8;TP53;0.126;25036637 
Q96BE0;Q96BE0;Q1MSW8;TP53;0.126;25036637 
Q9Y2A7;NCKAP1;Q96F07;CYFIP2;0.274;26344197 15048123 
Q96F07;CYFIP2;Q96EV8;DTNBP1;0.236;26186194 28514442 
Q96F07;CYFIP2;P15884;TCF4;0.236;25609649 
Q96F07;CYFIP2;Q969G2;LHX4;0.236;26186194 28514442 
Q96F07;CYFIP2;O43639;NCK2;0.236;26186194 28514442 
P80188;LCN2;O43715;TRIAP1;0.236;unassigned1304 
O15173;PGRMC2;O14681;EI24;0.236;unassigned1304 
O95274;LYPD3;O15297;PPM1D;0.286;25640309 
P52292;KPNA2;O15297;PPM1D;0.236;28330616 27880917 
Q00987;MDM2;O15297;PPM1D;0.623;17936559 
Q14974;KPNB1;O15297;PPM1D;0.236;28330616 27880917 
Q96J88;EPSTI1;O15297;PPM1D;0.286;25640309 
Q9UBP4;DKK3;O15297;PPM1D;0.286;25640309 
Q96F07;CYFIP2;P31946;YWHAB;0.236;24255178 
Q96F07;CYFIP2;P63104;YWHAZ;0.236;14676191 
Q96F07;CYFIP2;Q8NB15;ZNF511;0.236;26186194 28514442 
Q9NUH8;TMEM14B;O14681;EI24;0.236;unassigned1304 
Q9UI14;RABAC1;O14681;EI24;0.236;unassigned1304 
Q96F07;CYFIP2;Q04917;YWHAH;0.236;14676191 
Q9BQS6;HSPB9;Q96F07;CYFIP2;0.236;26186194 28514442 
Q12982;BNIP2;O14681;EI24;0.236;unassigned1304 
Q9H8W4;PLEKHF2;O43715;TRIAP1;0.236;unassigned1304 
Q6NUS6;TCTN3;O14681;EI24;0.236;26638075 
Q8N4P2;TTC30B;O14681;EI24;0.332;unassigned1312 27173435 
P16104;H2AFX;O15297;PPM1D;0.843;20118229 20101220 20460517 
Q99459;CDC5L;O15297;PPM1D;0.416;20467437 11101529 
Q9UBG0;MRC2;O15297;PPM1D;0.286;25640309 
Q9UJM3;ERRFI1;O15297;PPM1D;0.286;25640309 
Q9UJX0;OSGIN1;O15297;PPM1D;0.286;25640309 
Q9UKS6;PACSIN3;Q96F07;CYFIP2;0.126;19041431 
Q9ULV8;CBLC;Q96F07;CYFIP2;0.126;28514442 
Q9H9B4;SFXN1;O43715;TRIAP1;0.126;29568061 
Q9UNE7;STUB1;Q1MSW8;TP53;0.126;25036637 
Q9UNF0;PACSIN2;Q96F07;CYFIP2;0.126;19041431 
Q9UQB8;BAIAP2;Q96F07;CYFIP2;0.126;26186194 
Q9HBL7;PLGRKT;O43715;TRIAP1;0.126;29568061 
Q9NSC5;HOMER3;Q96F07;CYFIP2;0.126;28514442 
P11234;RALB;O14681;EI24;0.332;unassigned1312 27173435 
P27105;STOM;O14681;EI24;0.332;unassigned1312 27173435 
P51668;UBE2D1;O14681;EI24;0.183;19549727 
P62837;UBE2D2;O14681;EI24;0.332;19549727 
Q9NYB9;ABI2;Q96F07;CYFIP2;0.126;28514442 
Q9Y3B1;SLMO2;O43715;TRIAP1;0.236;27499296 28514442 
Q9NZC7;WWOX;Q96F07;CYFIP2;0.126;24550385 
Q9Y6W5;WASF2;Q96F07;CYFIP2;0.274;26344197 15048123 
Q96F07;CYFIP2;O43493;TGOLN2;0.126;29568061 
Q96F07;CYFIP2;Q6XZF7;DNMBP;0.21;14506234 
P04746;AMY2A;O43715;TRIAP1;0.286;21988832 
Q96F07;CYFIP2;O15155;BET1;0.126;29568061 
O43715;TRIAP1;O14727;APAF1;0.21;15735003 
